#
# MD1: a minimal molecular dynamics program
#    modified version (10/08/2010)
#
# Direct sampling of S(k)
#  Input sample: ../Task2/Step1_Startup/sampleT94.4.dat
#          (positions, velocities, accelerations read from file)
# Output sample: ../Task2/Step1_Startup/sample22.dat
# Number of steps:    9000, time step: 0.0046, total time:     41.4000
# Number of atoms:   864
# Box size:   10.228800   10.228800   10.228800, Volume:       1070.222
# Density:    0.807309 (unchanged)
# Free evolution run.
#
#  Step   Temperature     Kinetic      Potential   Total Energy    Pressure
# -----  ------------  ------------  ------------  ------------  ------------
    438      0.760294      1.140441     -4.947920     -3.807479      0.623840
    439      0.756802      1.135203     -4.942668     -3.807465      0.643957
    440      0.753146      1.129719     -4.937157     -3.807438      0.664342
    441      0.749612      1.124418     -4.931828     -3.807410      0.683795
    442      0.746523      1.119785     -4.927169     -3.807384      0.700759
    443      0.744162      1.116243     -4.923614     -3.807370      0.714050
    444      0.742694      1.114041     -4.921412     -3.807371      0.723126
    445      0.742120      1.113180     -4.920568     -3.807388      0.727349
    446      0.742279      1.113418     -4.920835     -3.807417      0.727695
    447      0.742897      1.114345     -4.921792     -3.807447      0.725410
    448      0.743689      1.115534     -4.923000     -3.807466      0.722227
    449      0.744459      1.116688     -4.924160     -3.807472      0.718755
    450      0.745148      1.117721     -4.925185     -3.807464      0.715210
    451      0.745830      1.118745     -4.926195     -3.807449      0.711049
    452      0.746657      1.119986     -4.927418     -3.807433      0.705914
    453      0.747788      1.121682     -4.929107     -3.807425      0.698768
    454      0.749315      1.123972     -4.931399     -3.807427      0.690305
    455      0.751204      1.126805     -4.934251     -3.807446      0.679009
    456      0.753288      1.129932     -4.937400     -3.807468      0.666797
    457      0.755338      1.133007     -4.940492     -3.807485      0.654005
    458      0.757176      1.135764     -4.943251     -3.807487      0.642563
    459      0.758733      1.138100     -4.945582     -3.807481      0.632552
    460      0.760020      1.140030     -4.947503     -3.807473      0.623121
    461      0.761060      1.141590     -4.949057     -3.807467      0.614434
    462      0.761882      1.142822     -4.950278     -3.807456      0.606830
    463      0.762545      1.143817     -4.951259     -3.807442      0.600291
    464      0.763148      1.144722     -4.952149     -3.807427      0.594095
    465      0.763811      1.145716     -4.953132     -3.807415      0.587183
    466      0.764636      1.146954     -4.954364     -3.807410      0.580042
    467      0.765681      1.148521     -4.955928     -3.807406      0.571049
    468      0.766968      1.150452     -4.957860     -3.807408      0.561441
    469      0.768501      1.152751     -4.960161     -3.807409      0.551358
    470      0.770263      1.155395     -4.962808     -3.807413      0.539606
    471      0.772207      1.158310     -4.965733     -3.807423      0.526966
    472      0.774237      1.161355     -4.968792     -3.807437      0.514117
    473      0.776206      1.164309     -4.971763     -3.807454      0.502231
    474      0.777921      1.166882     -4.974359     -3.807476      0.491280
    475      0.779154      1.168732     -4.976230     -3.807499      0.483251
    476      0.779671      1.169506     -4.977023     -3.807517      0.479458
    477      0.779285      1.168928     -4.976453     -3.807524      0.479524
    478      0.777930      1.166895     -4.974411     -3.807515      0.484667
    479      0.775711      1.163567     -4.971053     -3.807486      0.494689
    480      0.772941      1.159412     -4.966852     -3.807441      0.507095
    481      0.770099      1.155148     -4.962536     -3.807388      0.519117
    482      0.767706      1.151560     -4.958906     -3.807346      0.529920
    483      0.766173      1.149259     -4.956586     -3.807327      0.536172
    484      0.765671      1.148507     -4.955846     -3.807339      0.537639
    485      0.766096      1.149144     -4.956514     -3.807370      0.533847
    486      0.767134      1.150701     -4.958108     -3.807407      0.526192
    487      0.768413      1.152620     -4.960056     -3.807436      0.517968
    488      0.769626      1.154439     -4.961892     -3.807454      0.510079
    489      0.770595      1.155893     -4.963350     -3.807457      0.502927
    490      0.771276      1.156913     -4.964367     -3.807454      0.496562
